university;Universit?t
;
at university;an der Universit?t
;
at the University of Oxford, at Oxford University, at Oxford;an der Universit?t Oxford
;
to go to/attend university;die University besuchen
;
physicist;Physiker
;
physics;Physik
;
physical ;physikalisch
;
semester;Semester
;
summer/spring semester;Sommersemester
;
autumn/fall semester;Wintersemester
;
problem sheet;Aufgabenblatt
;
due date;Abgabetermin
;
mathematics;Mathematik
;
maths (colloquial);Mathe (umgangssprachl.)
;
mathematical;mathematisch
;
mechanics;Mechanik
;
mechanical ;mechanisch
;
classical;klassisch
;
electrodynamics;Elektrodynamik
;
electrodynamic;elektrodynamisch
;
optics;Optik
;
optical;optisch
;
quantum;Quant
;
quantum physics;Quantenphysik
;
thermodynamics;Thermodynamik, W?rmelehre
;
thermodynamic;thermodynamisch
;
technical;technisch
;
engineering;Technik, Ingenieurwesen
;
laboratory, lab (colloquial);Labor
;
laboratory/lab report;Versuchsprotokoll
;
article;Artikel
;
presentation;VorfÙhrung, Vortrag
;
scientific;(natur)wissenschaftlich
;
lecture;Vorlesung
;
to give a lecture on sth.;eine Vorlesung Ùber etw. halten
;
lecture notes;Vorlesungsmitschrift
;
lecture room/hall;H?rsaal
;
lecturer;Dozent(in)
;
professor;Professor
;
course;Lehrveranstaltung
;
component;Bestandteil, Komponente
;
class;(Unterrichts-)Stunde
;
tutorial; bung(sstunde)
;
tutor;Tutor
;
registration;Anmeldung, Einschreibung
;
to register;sich anmelden, sich einschreiben
;
examination, exam;PrÙfung
;
to pass an exam;eine PrÙfung bestehen
;
to fail an exam;durch eine PrÙfung durchfallen
;
structure;Struktur, Aufbau
;
solution;L?sung
;
mini test;Kurztest
;
prerequisite;Voraussetzung
;
sick note;(?rztliches) Attest
;
to represent;darstellen
;
over;mehr als
;
slash;Schr?gstrich
;
to match sth.  ;gleichkommen  
;
to match sth. to/with sth.  ;etw. auf etw. abstimmen  
;
to match (intrans.);zusammenpassen, einander gleich-kommen
;
list;Liste
;
phonetic;phonetisch
;
symbol;Symbol
;
consonant;Konsonant
;
vowel;Vokal
;
diphthong;Diphthong, Doppelvokal
;
student number;Matrikelnummer
;
college;Kolleg, College
;
undergraduate;Student (vor dem ersten Studienabschluss)
;
postgraduate;Student (nach dem ersten Studienabschluss)
;
Nobel prize winner;Nobelpreistr?ger
;
energy;Energie
;
scholar;Gelehrter, Wissenschaftler
;
system;System
;
transcription;Umschrift
;
key (to symbols);Zeichenerkl?rung (der Symbole)
;
table ;Tabelle
;
subject;Thema  Fach  Subjekt (Gram.)
;
essential;wesentlich
;
essentially;im Wesentlichen
;
comprehensive;umfassend
;
course;Studiengang
;
to rank ;einstufen (trans.), eingestuft sein (intrans.) 
;
higher education;Hochschulbildung
;
to indicate;(an)zeigen
;
indication;Anzeichen
;
career;Karriere, Laufbahn
;
course place;Studienplatz
;
degree;(Studien-)Abschluss, Grad
;
BachelorÍs degree;Bachelor-Abschluss
;
BachelorÍs degree programme;Bachelor-Studienprogramm
;
science;(Natur-)Wissenschaft
;
Bachelor of Science (abbr. B.Sc. (BE), B.S. (AE));Bachelor of Science (Abk. B.Sc.)
;
Bachelor of Science in Physics;Bachelor of Science in Physik
;
MasterÍs degree;Master-Abschluss
;
MasterÍs degree programme;Master-Studienprogramm
;
Master of Science (abbr. M.Sc. (BE), MS (AE));Master of Science (Abk. M.Sc.)
;
to study;studieren  untersuchen, betrachten
;
study;Untersuchung  Studieren
;
application;Bewerbung  Anwendung
;
applicant;Bewerber
;
to apply (to sb./for sth.);sich (bei jdm./auf etw.) bewerben
;
discipline;Fachgebiet
;
engineering;Technik, Ingenieurwesen
;
astrophysics;Astrophysik
;
astrophysicist;Astrophysiker
;
to scan;abtasten, (ab-)rastern
;
cosmos;Kosmos
;
telescope;Teleskop, Fernrohr
;
planet;Planet
;
graduate;Absolvent  Student (nach dem ersten Studienabschluss)
;
academic;akademisch
;
academic year;Studienjahr
;
to contribute (to sth.);(zu etw.) beitragen
;
contribution;Beitrag
;
reputation;Ruf
;
research;Forschung
;
researcher;Forscher
;
resource;Ressource, Ausstattung
;
library;BÙcherei
;
facility;Einrichtung
;
department;Fachbereich
;
faculty;Fakult?t
;
irrespective of ;ungeachtet (+Genetiv)
;
instruction;Unterricht
;
thesis, pl. -es;Dissertation
;
certificate;Urkunde
;
process;Prozess
;
to submit ;einreichen
;
to assess;beurteilen, bewerten
;
to  be admitted to/to be accepted on a programme of study;zu einem Studienprogramm  zugelassen werden
;
no.;Nr. (in einer Liste)
;
scholarship;Stipendium
;
tuition fee;StudiengebÙhr
;
Dear Mrs./Mr. Smith, ;Sehr geehrte/r Frau/Herr Smith, 
;
Dear Dr. Smith, ;Sehr geehrte Frau/Herr Dr. Smith, 
;
Dear Sir or Madam, ;Sehr geehrte Damen und Herren, 
;
Best regards, ;Viele GrÙ¤e 
;
thank you for your letter dated ...;vielen Dank fÙr Ihr Schreiben vom ...
;
please find attached ...;im Anhang erhalten Sie ...
;
attachment;Anlage (einer Email)
;
Yours faithfully, ;Mit freundlichen GrÙ¤en
