function;Funktion
;
ingredient ;Bestandteil
;
review;Stoffwiederholung  Rezension
;
to review;(Lernstoff) wiederholen
;
calculus;Differential- und Integralrechnung 
;
to define;definieren
;
well-defined;wohldefiniert
;
definition;Definition
;
set;Menge
;
domain;Definitionsbereich
;
codomain;Zielmenge
;
range;Wertebereich
;
to form;bilden
;
real;reell
;
to specify;angeben
;
f(x) ;f von x
;
4 plus 5 equals 9. ;4 plus 5 ergibt 9. 
;
The sum of 4 and 5 is 9. ;Die Summe von 4 und 5 ist 9. 
;
to square;quadrieren
;
a squared;a Quadrat
;
to suppose that;annehmen, dass
;
is equal to ...;ist gleich ...
;
positive;positiv
;
negative;negativ
;
non-negative;nichtnegativ
;
integer;ganze Zahl
;
billion;Milliarde
;
minus 2 (BE), negative 2 (AE) ;Minus 2
;
interval;Intervall
;
2 is less than 5;2 ist kleiner als 5
;
y is less than or equal to 1;y ist kleiner gleich 1
;
4 is greater than 3;4 ist gr?¤er als 3
;
x is greater than or equal to 7;x is gr?¤er gleich 7
;
notation;Notation, Schreibweise
;
to involve;umfassen, betreffen
;
involved;kompliziert, verwirrend
;
compact;kompakt
section;Abschnitt
;
infinity;unendlich
;
bracket;Klammer
;
in brackets;in Klammern
;
square bracket;rechteckige Klammer
;
curly;geschweift
;
curly bracket;geschweifte Klammer 
;
round bracket;runde Klammer
;
parenthesis, ;(runde) Klammer, 
;
(pl.) parantheses ;Klammern
;
variable;variabel, Variable
;
logarithmic;logarithmisch
;
logarithm;Logarithmus
;
base;Basis
;
log base 2 of x , log x base 2, ;Zweierlogarithmus von x, 
;
base 2 logarithm of x ;Logarithmus von x zur Basis 2
;
square root of x ;Quadratwurzel von x 
;
cube root of y ;3. Wurzel aus y
;
4 times 6, ;4 mal 6, 
;
4 multiplied by 6, ;4 mit 6 multipliziert, 
;
the product of 4 and 6;das Produkt von 4 und 6
;
unless otherwise stated;wenn nicht anders angegeben
;
point two;0,2
;
angle;Winkel
;
right angle;rechter Winkel
;
square;Quadrat
;
rectangle ;Rechteck
;
circle;Kreis
;
addition;Addition
;
multiplication;Multiplikation
;
average, mean;Mittelwert
;
center;Mittelpunkt
;
radius;Radius
;
equation;Gleichung
;
complex number;komplexe Zahl
;
coordinate system;Koordinatensystem
;
coordinates;Koordinaten
;
Cartesian coordinates;Kartesische Koordinaten
;
cylindrical ;zylindrisch
;
cylindrical coordinates;Zylinderkoordinaten
;
spherical ;kugelf?rmig
;
spherical coordinates;Kugelkoordinaten
;
origin;Ursprung
;
abscissa;Abszisse (d. h. x-Achse)
;
ordinate;Ordinate (d. h. y-Achse)
;
x one, x sub one;x1
;
real part;Realteil
;
imaginary part;Imagin?rteil
;
constant;Konstante, konstant
;
algebra;Algebra
;
noun;Substantiv
;
singular;Singular
;
plural;Plural
;
to capitalize;gro¤ schreiben
;
pronoun;Pronomen
;
demonstrative;demonstrativ, hinweisend
;
adjective;Adjektiv
;
adverb;Adverb
;
interrogative;Interrogativ-, fragend
;
indefinite;unbestimmt
;
reflexive;Reflexiv-
;
to treat (as);behandeln (als)
;
inverse function;Umkehrfunktion
;
f inverse of y;f invers von y 
;
the inverse;das Inverse
;
operation;Operation
;
button;Knopf
;
to undo sth. ;etw. rÙckg?ngig machen
;
to restrict sth. (to);etw. begrenzen/einschr?nken (auf)
;
horizontal;horizontal
;
vertical;vertikal
;
to apply (to);Anwendung finden (auf), gelten (fÙr)
;
parabola;Parabel
;
parabolic;parabolisch
;
to satisfy an equation;eine Gleichung erfÙllen
;
