T one half;T Halbe
;
therefore;daher, also
;
fraction;Anteil
;
to tailor sth. (to/toward);etw. zuschneiden (auf)
;
foot (pl. feet);Fu¤ (30,5 cm)
;
mile;Meile (1,61 km)
;
astronomer;Astronom
;
light year;Lichtjahr
;
mean;mittlere(r,s)
;
pound;Pfund (0,454 kg)
;
capital L;gro¤es L
;
per;pro
;
setup;Aufbau
;
aluminum (AE), aluminium (BE);Aluminium
;
bar;Stange, Stab
;
reasonable;vernÙnftig
;
plausible;plausibel
;
assumption ;Annahme
;
to make the assumption that;die Annahme machen, dass 
;
to assume that;annehmen, dass
;
to compare (with/to);vergleichen (mit)
;
compared to;verglichen mit
;
to calibrate ;eichen
;
calibration;Eichung
;
probable;wahrscheinlich
;
probability;Wahrscheinlichkeit
;
accurate;genau
;
accuracy;Genauigkeit
;
to an accuracy of;mit einer Genauigkeit von
;
scale;Skala
;
on a scale of;auf einer Skala von
;
to be the case;der Fall sein
;
in the case of;im Falle (+Gen.)
;
to suspect;vermuten
;
to argue;argumentieren
;
issue;Thema, Angelegenheit
;
to remove;entfernen
;
to subtract (from);subtrahieren, abziehen (von)
;
sufficient;genug, genÙgend
;
#1,  no___;Nr. 1
;
clause;Teilsatz
;
phrase;Satzglied, -teil
;
undefined;nicht definiert
;
argument;Auseinandersetzung, Argument
;
to coordinate sth.;etw. aufeinander abstimmen
;
accordingly (adv.);dementsprechend, folglich
;
question mark;Fragezeichen
;
exclamation mark/point;Ausrufezeichen
;
comma;Komma
;
full stop (BE), period (AE);Punkt (am Satzende)
;
colon;Doppelpunkt
;
semicolon;Semikolon
;
dash;Gedankenstrich
;
apostrophe;Apostroph
;
tilde;Tilde
;
decimal point;Dezimalpunkt (in Zahlen)
;
open brackets;Klammer auf
;
close brackets;Klammer zu
;
quotation mark, a. inverted commas (BE);AnfÙhrungszeichen
;
quote;AnfÙhrungsstriche unten
;
unquote;AnfÙhrungsstriche oben
;
quote;Zitat
;
to quote;zitieren
;
to abbreviate;abkÙrzen
;
abbreviation;AbkÙrzung
;
defined in terms of ...;mit Hilfe von ... definiert
;
power;Leistung
;
to encounter;treffen auf
;
simplification;Vereinfachung
;
can be simplified somewhat;kann etwas vereinfacht werden
;
prefix;Vorsilbe, Pr?fix
;
to correspond to;entsprechen
;
to attach ... (to);... befestigen (an), ... anfÙgen (an), ... verbinden (mit)
;
certain;gewiss, bestimmt
;
effect (on);Wirkung (auf), Effekt
;
