to differ ;sich voneinander unterscheiden
;
to differ from;sich unterscheiden von
;
noticeable;merklich
;
appreciable, considerable;betr?chtlich
;
defined to be 1.0 kg;als 1,0 kg definiert
;
conjecture;Vermutung
;
standard;Normal
;
standard body;Vergleichsk?rper
;
a force of 8.0 N, an 8.0 N force;eine Kraft von 8.0 N
;
to obtain;erhalten, bekommen
;
to become;werden
;
intuitive;intuitiv
;
to consist of;bestehen aus
;
consistent;konsequent, vereinbar
;
consistency;Konsequenz, Vereinbarkeit, stoffliche Konsistenz
;
reliable;zuverl?ssig
;
a means of doing s.th.;ein Mittel, etw. zu tun
;
to assign s.th. to ;etw. zuweisen, zuordnen
;
to balance;im Gleichgewicht halten, ins Gleichgewicht bringen
;
balance;Waage
;
spring scale;Federwaage
;
equilibrium;Gleichgewicht
;
to cancel;aufheben
;
appendix;Anhang
;
external/internal force;?u¤ere/innere Kraft
;
total;Gesamt-
;
gravitation;Graviation
;
gravitational;Graviations-
;
weight;Gewicht
;
to weigh;wiegen
;
to require;erfordern
;
to generalize;verallgemeinern
;
generalization;Verallgemeinerung
;
downward;abw?rts gerichtet
;
upward;aufw?rts gerichtet
;
solid line;durchgezogene Linie
;
dashed line;gestrichelte  Linie
;
Ph.D. (nachgestellt);Dr. 
;
she has a Ph.D. in physics;sie ist eine promovierte Physikerin
;
he's doing a Ph.D. at Oxford;er macht gerade seinen Doktor in Oxford
;
line break;Zeilenumbruch
;
to practise sth.;etw. Ùben
;
to associate sth. (with);etw. in Verbindung bringen (mit)
;
to be associated with;verbunden sein mit, zusammenh?ngen mit
;
associated;damit verbunden
;
configuration;Konfiguration, Anordnung
;
to attract ;anziehen
;
attractive;anziehend
;
attraction;Anziehung
;
load;Last, Belastung
;
extension;Erweiterung, Ausdehnung, Verl?ngerung
;
to extend;(aus)dehnen 
;
coil;Spule, Windung
;
work;Arbeit
;
to do work (on);Arbeit verrichten (an)
;
to increase (by);erh?hen (um), zunehmen (um)
;
to increase by an amount of ...;um einen Betrag von ...  zunehmen
;
increase;Zunahme
;
to oscillate;schwingen
;
oscillation;Schwingung
;
to suspend;aufh?ngen, suspendieren
;
elastic;elastisch
;
inelastic;unelastisch
;
to compress;verdichten
;
compression;Verdichtung
;
to shift;verschieben, bewegen
;
shift ;Verschiebung
;
joule;Joule
;
speed of light;Lichtgeschwindigkeit
;
punctuation mark;Satzzeichen
;
to provide;zur VerfÙgung stellen
;
content (of);Gehalt (an), Inhalt
;
to deduct (from);abziehen (von)
;
to precede sth.;etw. vorausgehen
;
nonessential;unwesentlich
;
voltmeter;Spannungsmesser
;
amplifier;Verst?rker
;
to amplify;verst?rken
;
oscilloscope;Oszilloskop
;
salutation;Anrede
;
NB;NB (nota bene)
;
to italicize sth.;etw. kursiv schreiben
;
italics;Kursivschrift
;
quote mark;AnfÙhrungszeichen
;
cf.;vgl.
;
in between;(mitten) zwischen
;
to discover;entdecken
;
discovery;Entdeckung
;
practice; bung, Training
;
to turn in;abgeben, abliefern
;
period;Zeitraum
;
method;Methode
;
result;Ergebnis
;
to obtain a result;ein Ergebnis erhalten
;
a to the fourth power, a to the fourth,  a to the power 4, a to the power of 4;a hoch 4
;
statement;Aussage
;
conclusion;Schlussfolgerung
;
to come to/draw/reach the conclusion that ...;zu dem Schluss kommen, dass ... 
;
concise;knapp und pr?zise
;
word processor;Textverarbeitungsprogramm
;
spreadsheet program;Tabellenkalkulationsprogramm
;
to graph sth.;etw. grafisch darstellen
;
graphical;graphisch
;
