specimen;Probe
;
dimensionless;dimensionslos
;
rod;Stab
;
proportionality;Proportionalit?t
;
constant of proportionality;Proportionalit?tskonstante
;
lateral;seitlich
;
opposite (to);entgegengesetzt (zu)
;
purpose;Zweck
;
relationship;Beziehung
;
to confuse (with);verwechseln (mit)
;
Let n be the number of;Es sei n die Anzahl von
;
paper;(wissenschaftlicher) Artikel
;
novel;neuartig
;
microscope;Mikroskop
;
microscopy;Mikroskopie
;
atomic force microscopy   (abbr. AFM);Rasterkraftmikroskopie
;
sensitive;empfindlich
;
sensitivity;Empfindlichkeit
;
to sense;wahrnehmen, abtasten 
;
to detect;detektieren, nachweisen
;
detection;Detektion
;
detector;Detektor
;
detectable;detektierbar
;
to image;abbilden
;
ultrahigh vacuum (abbr. UHV);Ultrahochvakuum
;
stylus;(Tast-)Stift
;
of interest;interessierend
;
interatomic;interatomar
;
to induce;induzieren, hervorrufen
;
displacement;Auslenkung, Verschiebung
;
to implement;einfÙhren, umsetzen
;
implementation;EinfÙhrung, Umsetzung
;
to tunnel;tunneln
;
tunnel(ing) junction;Tunnelkontakt
;
conductive;leitend
;
to conduct (a current);(einen Strom) leiten
;
cantilever;Ausleger
;
beam;Balken, Strahl
;
subsequent;folgend, anschlie¤end
;
interferometry;Interferometrie
;
interferometric;interferometrisch
;
to deflect;auslenken, ablenken
;
deflection;Auslenkung, Ablenkung
;
thermal;thermisch
;
photothermal;photothermisch
;
spectrum, pl. spectra;Spektrum
;
spectral;spektral
;
spectroscopy;Spektroskopie
;
spectroscopic;spektroskopisch
;
scheme;Schema
;
schematic;schematisch
;
atomic physics;Atomphysik
;
to publish;ver?ffentlichen
;
issue;Thema, Angelegenheit, Ausgabe (einer Zeitschrift)
;
subscription;Abonnement
;
client;Client (untergeordneter Netzwerkcomputer oder ?prozess)
;
contents;Inhalt
;
standard;Standard, Norm, Normal
;
to acquire;erwerben
;
to gain;erlangen
;
to apply sth. (to);etw. anwenden (auf)
;
applicability (to);Anwendbarkeit (auf)
;
to reflect (off);reflektieren (an)
;
reflectivity;Reflexionsverm?gen
;
reflection (off);Reflexion (an)
;
to prove to be;sich erweisen als
;
suited (to);geeignet (fÙr)
;
environment;Umgebung
;
static;statisch
;
dynamic;dynamisch
;
dynamics;Dynamik
;
force constant, spring constant;Federkonstante
;
gradient;Gradient
;
to vibrate;vibrieren, (mechanisch) schwingen, schwingen lassen
;
vibration;Vibration, (mechanische) Schwingung
;
to adopt;Ùbernehmen
;
representation;Darstellung
;
tungsten;Wolfram
;
to etch;?tzen
;
electrochemical;elektrochemisch
;
tip;Spitze
;
resonance;Resonanz
;
resonant;resonant
;
frequency;Frequenz
;
hertz;Hertz
;
lever;Hebel
;
scan;Abtastung, Scan
;
version;Version, Fassung
;
scanning tunneling microscope (abbr. STM);Rastertunnelmikroskop
;
to operate;betreiben
;
operation;Betrieb
;
to mount ;befestigen
;
inch (abbr. in.);Zoll (2,54 cm)
;
chamber;Kammer
;
to install;einbauen
;
to be located (in);liegen, sich befinden (in)
;
to equip (with);ausstatten (mit)
;
phase;Phase
;
input;Eingabe
;
output;Ausgabe
;
interaction;Wechselwirkung
;
regime;(Geltungs-)Bereich
;
potential;Potential
;
amplitude;Amplitude
;
to point (at);richten, zeigen (auf)
;
stability;Stabilit?t
;
stable;stabil
;
noise;Rauschen
;
shot noise;Schrotrauschen
;
modulation;Modulation
;
to modulate;modulieren
;
diffraction;Beugung
;
to diffract;beugen
;
light spot;Lichtfleck
;
to dominate;beherrschen
;
signal;Signal
;
signal-to-noise ratio;Signal-Rausch-Verh?ltnis
;
responsivity;Empfindlichkeit
;
dimension;Dimension, Abmessung
;
intensity;Intensit?t
;
bandwidth;Bandbreite
;
to degrade;beeintr?chtigen, beeintr?chtigt werden
;
simultaneous;gleichzeitig
;
normal mode;Normalmode
;
quality factor;GÙtefaktor
;
background;Hintergrund
;
noise background;Rauschuntergrund
;
consistent;konsistent, vereinbar, konsequent
;
minimum;Minimum, minimal
;
to present sth.;etw. vorstellen
;
dependence (on);Abh?ngigkeit (von)
;
spacing;Abstand
;
various (before pl. nouns);"verschiedene (im Sinne von ""mehrere"")"
;
figure;Abbildung
;
feedback loop;RÙckkopplungsschleife
;
Fresnel zone plate;Fresnel-Zonenplatte
;
to focus;fokussieren
;
x rays (also X-rays);R?ntgenstrahlen
;
concentric;konzentrisch
;
array;Aufstellung, Anordnung
;
to deposit;abscheiden
;
silicon;Silizium
;
wafer;(Halbleiter-)Scheibe, Wafer
;
reproducible;reproduzierbar
;
reproducibility;Reproduzierbarkeit
;
inspection; berprÙfung, Einsichtnahme
;
ridge;Grat
;
roughness;Rauheit
;
rough;rau
;
to investigate;untersuchen
;
investigation;Untersuchung
;
to magnify;vergr?¤ern
;
magnification;Vergr?¤erung
;
at high magnification;bei hoher Vergr?¤erung
;
grain;Korn
;
to resolve;aufl?sen
;
resolution;Aufl?sung
;
boundary;Grenze
;
to agree (with);Ùbereinstimmen (mit)
;
in agreement (with);in  bereinstimmung (mit)
;
electron;Elektron
;
micrograph;Mikroskopieaufnahme
;
In summary, ... ;Um zusammenzufassen: ...
;
to enable sb. to do sth.;jdm. erm?glichen, etw. zu tun
;
to stick (to);kleben (an)
;
to slip;rutschen
;
repetitive;sich wiederholend
;
on condition that;unter der Bedingung, dass
;
directed;gerichtet
;
to oppose;sich widersetzen
;
gas;Gas
;
liquid, fluid;FlÙssigkeit
;
turbulence;Turbulenz
;
cross-sectional area;Querschnittsfl?che
;
to vary;variieren
;
deviation;Abweichung
;
to range from ... to ...;von ... bis ... reichen
;
gradual;allm?hlich
;
to orbit;(um)kreisen
;
orbit;Umlaufbahn
;
to extend (to);erweitern (auf), sich erstrecken (bis)
;
to print out ;ausdrucken
;
printout ;Ausdruck
;
novelty;Neuartigkeit
;
present;gegenw?rtig, vorliegend
;
affiliation;Zugeh?rigkeit
;
receipt date;Eingangsdatum
;
main body;Hauptteil
;
numbering;Nummerierung
;
figure caption;Bildlegende, -unterschrift
;
reference (to);Verweis (auf), Literaturstelle
;
bibliography;Literaturverzeichnis
;
acknowledgment,  acknowledgement;Danksagung
;
to acknowledge;danksagen fÙr, anerkennen
;
at a conference;auf einer Tagung
;
to attend a conference;an einer Tagung teilnehmen
;
conference proceedings;Tagungsbericht
;
talk;Vortrag
;
to give a talk;einen Vortrag halten
;
to submit a manuscript  for publication;einen Artikel zur Ver?ffentlichung einreichen
;
submission;Einreichung
;
to base sth. on sth.;etw. auf etw. stÙtzen
;
to accept/reject a manucript;ein Manuskript annehmen/ablehnen
;
acceptance (of);Annahme (+Gen.), Zustimmung (zu)
;
rejection;Ablehnung
;
reviewer, referee;Gutachter
;
editor;Herausgeber
;
programme committee;Programmkomitee
;
wording,;Wortlaut 
;
formulation;Formulierung
;
to work through sth.;etw. durcharbeiten
;
biology;Biologie
;
biological;biologisch
;
outcome, result;Ergebnis
;
obvious, evident;offensichtlich
;
to transfer (from ... to ...);Ùbertragen (von ... auf ...)
;
at an angle f to a line;unter einem Winkel f  zu einer Linie
;
to rearrange;umstellen
;
newton-meter;Newtonmeter
;
spring force;Federkraft
;
to relax;entspannen
;
Hooke's law;Hookesches Gesetz
;
limits of integration;Integrationsgrenzen
;
to carry out an integration;eine Integration ausfÙhren
;
increment;Anwachsen, Inkrement
;
incremental;schrittweise, inkrementell
;
time derivative;Zeitableitung
;
kilowatt-hour;Kilowattstunde
;
particle-like object;teilchenartiger Gegenstand
;
engine;Maschine, Motor
;
elapsed time;verstrichene Zeit
;
by extension of Eq. 1;durch Erweiterung von Gl. 1
;
to store;speichern
;
(non)conservative force;(nicht)konservative Kraft
;
thermal energy;W?rmeenergie
