molecule;MolekÙl
;
molecular;molekular, MolekÙl-
;
primary;Haupt-, prim?r
;
to launch;starten, abschie¤en
;
closed path;geschlossener Weg
;
in contrast to;im Gegensatz zu
;
in contrast;dagegen
;
arbitrary;willkÙrlich
;
arbitrary units (Abk.: arb. u.);willkÙrliche Einheiten
;
atomic units (Abk.: a. u.);atomare Einheiten
;
intermediate;dazwischen gelegen, dazwischen stattfindend
;
pendulum;Pendel
;
turning point;Umkehrpunkt
;
to superpose,  to superimpose;Ùberlagern
;
neutral;neutral
;
neutral/stable/unstable equilibrium;indifferentes/stabiles/instabiles Gleichgewicht
;
random;zuf?llig, Zufalls-
;
within a system;innerhalb eines Systems
;
trial;Versuch
;
by trial and error ;durch Ausprobieren
;
research and development;Forschung und Entwicklung (F&E)
;
to pin down;genau bestimmen
;
to interpret (as);interpretieren (als)
;
to invent;erfinden
;
evolution;Evolution, Entwicklung
;
metrology;Messtechnik
;
to discriminate;unterscheiden
;
development;Entwicklung
;
to develop;entwickeln, sich entwickeln
;
probe;Sonde
;
to probe;untersuchen, sondieren
;
resonant frequency, resonance frequency;Resonanzfrequenz
;
to oscillate sth.;etw. schwingen lassen
;
to convert;umwandeln, umsetzen
;
conversion;Umwandlung, Umsetzung
;
composition;Zusammensetzung
;
apex;Spitze
;
to establish;feststellen, herausfinden
;
tin;Zinn
;
to adsorb;adsorbieren
;
adsorbate;Adsorbat
;
topographic;topographisch
;
topography;Topographie
;
to control ;beherrschen, steuern
;
element;Element
;
model;Modell
;
to model (as);modellieren (als)
;
pattern;Muster, Form
;
variation;Schwankung, Ûnderung
;
lead;Blei
;
to insulate;isolieren
;
insulation;Isolierung
;
mixture;Gemisch
;
concentration;Konzentration
;
irreproducible;nicht reproduzierbar
;
termination;Ende, Abschluss
;
fingerprint;Fingerabdruck
;
finding;Ergebnis, Entdeckung
;
atomistic;atomistisch
;
integral (adj.);wesentlich
;
colleague;Kollege/-in
;
simulation;Simulation
;
simulate;simulieren
;
alloy;Legierung
;
local;lokal
;
semiconductor;Halbleiter
;
semiconducting;halbleitend
;
level;Niveau, Ebene
;
nanotechnology;Nanotechnologie
;
law of conservation of energy;Energieerhaltungssatz
;
internal energy;innere Energie
;
change in a quantity;Ûnderung einer Gr?¤e
;
exception to a law;Ausnahme von einem Gesetz
;
to refer to;sich beziehen auf
;
to expand;ausdehnen, erweitern, sich ausdehnen
;
to exceed;Ùbersteigen, Ùbertreffen
;
center of mass;Schwerpunkt
;
to coincide (with);Ùbereinstimmen (mit)
;
a particle of mass m;ein Teilchen der Masse m 
;
two-particle system;Zweiteilchensystem
;
many-body problem;Vielk?rperproblem
;
index (pl. indices);Index
;
subscript;tiefgestellt, tiefgestellter Index
;
superscript;hochgestellt, hochgestellter Index
;
distribution;Verteilung
;
differential;differentiell
;
uniform;einheitlich
;
impact;Aufprall, Auswirkung
;
glancing;streifend
;
in between ;(da)zwischen
;
closed system;geschlossenes System
;
solid;fest
;
solid-state physics;Festk?rperphysik
;
fragment;BruchstÙck
;
angular momentum;Drehimpuls
;
law of conservation of linear momentum;Impulserhaltungssatz
;
depending on;abh?ngig von
;
rocket;Rakete
;
nozzle;DÙse
;
to eject;aussto¤en, auswerfen
;
combustion;Verbrennung
;
to discard;verwerfen
;
biochemical;biochemisch
;
biochemistry;Biochemie
;
vehicle;Fahrzeug
;
brake;Bremse
;
subatomic;subatomar
;
distortion;Verzerrung
;
neutron;Neutron
;
muon;Myon
;
quark;Quark
;
time-varying;zeitver?nderlich
;
impulse;Kraftsto¤
;
flowchart;Flussdiagramm
;
to symbolize;symbolisieren
;
unity;eins
;
translation;Translation
;
translational;Translations-
;
gear;Zahnrad
;
to examine;untersuchen
;
to move through an angle;einen Winkel Ùberstreichen
;
to move through a distance;eine Entfernung zurÙcklegen
;
arc;Kreisbogen
;
arc sine of x;Arkussinus x
;
radian measure;Bogenma¤
;
radian;Radiant
;
revolution;Umdrehung
;
angular velocity;Winkelgeschwindigkeit
;
angular acceleration;Winkelbeschleunigung
;
to confine s.th. to;etw. beschr?nken auf
;
confinement;Beschr?nkung, Eingesperrtsein
;
right-hand rule;rechte-Hand-Regel
;
in the opposite sense;in der entgegengesetzten Drehrichtung
;
to imply;andeuten
;
implied;implizit
;
explicit;explizit, ausdrÙcklich
;
rotational;Dreh-
;
rotational inertia, moment of inertia;Tr?gheitsmoment
;
adjacent;benachbart
;
annular;ringf?rmig
;
disk;Scheibe
;
shell;Schale
;
slab;Platte
;
radial;radial
;
to decompose (into) ;zerlegen (in)
;
torque;Drehmoment
;
screw;Schraube
;
screwdriver;Schraubenzieher
;
by analogy with;in Analogie mit
;
to assemble;zusammenbauen
;
assembly;Baugruppe
;
finite;endlich
;
infinite;unendlich
;
discrete;diskret, eigenst?ndig
;
to fix;festmachen, festlegen
;
fixed axis;feste Achse
;
Newton's second law;das zweite Newtonsche Gesetz
;
arc length;Bogenl?nge
;
kinematic ;kinematisch
;
analogous (to);analog (zu)
;
to roll (over a surface);rollen (Ùber eine Fl?che)
;
portion;Teil
;
similarly;ebenso
;
to verify;ÙberprÙfen, verifizieren
;
ramp;Rampe
;
incline;Neigung, Gef?lle
;
to spin;sich drehen
;
to point (in a direction/at);(in eine Richtung/auf) zeigen
;
equivalence;Ûquivalenz
;
crystal;Kristall
;
to guide;fÙhren, leiten
;
to sum, to add up;aufsummieren
;
with respect to;in bezug auf
;
law of conservation of angular momentum;Drehimpulserhaltungssatz
;
theory of special/general relativity;spezielle/allgemeine  Relativit?tstheorie
;
to compensate for s.th.;etw. ausgleichen
;
crude;primitiv
;
nuclear;nuklear, Kern-
;
to collapse;zusammenbrechen, kollabieren
;
pressure;Druck
;
dense;dicht
;
balance;Gleichgewicht
;
symmetry;Symmetrie
;
(un)symmetrical;(un)symmetrisch
;
lattice;Gitter
;
to align;ausrichten
;
solid;Festk?rper
;
qualitative;qualitativ
;
to bend;biegen, sich biegen
;
quartz;Quarz
;
to transmit;Ùbertragen, senden
;
sound;Schall
;
to convey;vermitteln, Ùberbringen
;
antenna;Antenne
;
to damp;d?mpfen
;
cycle;Durchlauf, Umlauf
;
harmonic;harmonisch
;
harmonic motion;harmonische Schwingung
;
sinusoidal;sinusf?rmig
;
phase angle;Phasenwinkel
;
to be opposite in sign;entgegengesetztes Vorzeichen haben
;
oscillator;Oszillator, Schwinger
;
oscillatory;schwingend
;
periodic;periodisch
;
to follow (from);folgen (aus)
;
peak;Gipfel, Maximum
;
to peak;einen Maximalwert erreichen
;
to twist;verdrehen
;
restoring;rÙckstellend, -treibend
;
material;Material, materiell
;
equivalent (noun);Ûquivalent, Entsprechung
;
restriction (to);Einschr?nkung (auf)
;
geophysics;Geophysik
;
to evacuate;evakuieren
;
principal;Haupt-
;
record;Aufzeichnung
;
projection;Projektion
;
to project (onto);projiziieren (auf)
;
project;Projekt
;
to execute (a motion);(eine Bewegung) ausfÙhren
;
to inhibit;hindern
;
damping constant;D?mpfungskoeffizient
;
to suggest;vorschlagen, nahelegen
;
suggestion;Vorschlag
