quantity; (physikalische) Gr?¤e, Menge
;
carbon;Kohlenstoff
;
tube;Rohr
;
nanotube;Nanor?hrchen
;
nanostructure;Nanostruktur
;
deposition;Abscheidung
;
substrate;Substrat
;
arc ;Bogen, Lichtbogen
;
discharge;Entladung
;
multi-walled;mehrwandig
;
conventional;herk?mmlich
;
gap;Spalt, LÙcke
;
electrode;Elektrode
;
current;Strom, Stromst?rke
;
to function;funktionieren
;
format;Format
;
to format;formatieren
;
participant;Teilnehmer(in)
;
albeit;wenn auch, obgleich
;
brevity;KÙrze
;
excerpt;Auszug
;
spatial;r?umlich
;
in-plane;in der Ebene liegend
;
out-of-plane;aus der Ebene weisend
;
operational mode;Betriebsart
;
to deploy;einsetzen
;
property;Eigenschaft
;
interface;Grenzfl?che
;
imaging;Bildgebung, Abbilden (Subst.)
;
tribological;tribologisch, reibungskundlich
;
to develop ;entwickeln
;
to couple;koppeln
;
coupling;Kopplung
;
deformation;Deformation, Verformung
;
deformational;Deformations-, Verformungs-
;
to exploit;ausnutzen
;
travel;Verfahrbewegung, -weg
;
in response to;in Erwiderung auf
;
measurable;messbar
;
stimulation;Anregung
;
to buckle;verbiegen
;
in addition to;zus?tzlich zu
;
in addition;au¤erdem
;
increase (over);Zunahme (gegenÙber) 
;
scanner;Scanner, Abtaster
;
oriented;orientiert
;
graphite;Graphit
;
to a large extent;in hohem Ma¤e
;
confusion;Verwirrung, Verwechslung
;
faultless;fehlerfrei
;
contradiction;Widerspruch
;
to achieve;erreichen, erzielen
;
citation;Zitat
;
to cite;zitieren
;
colloquialism;umgangssprachlicher Ausdruck
;
contraction;Zusammenziehung
;
orthography;Orthografie, Rechtschreibung
;
with time;mit der Zeit
;
exponential;exponentiell
;
decay;Zerfall
;
to decay;zerfallen
;
free/forced/driven/damped   oscillation;freie/erzwungene/angetriebene/ged?mpfte  Schwingung
;
driving force;antreibende Kraft
;
to idealize;idealisieren
;
wave;Welle
;
largely;gr?¤tenteils
;
extensive;ausgedehnt, ausfÙhrlich
;
substantial;betr?chtlich
;
substance;Stoff
;
electromagnetic;elektromagnetisch
;
electromagnetism;Elektromagnetismus
;
fibre, fiber (AE);Faser
;
atmosphere;Atmosph?re
;
satellite;Satellit
;
ultraviolet;ultraviolett
;
infrared;infrarot
;
radio wave;Radiowelle
;
microwave;Mikrowelle
;
