literature search;Literaturrecherche
;
systematic;systematisch
;
departmental;zum Fachbereich geh?rig, Abteilungs-
;
catalogue, catalog AE;Katalog
;
to consult sb.;jdn. um Rat fragen
;
librarian;Bibliothekar(in)
;
database;Datenbank
;
multiple;vielfach, Vielfaches
;
keyword;SchlÙssel-, Stichwort
;
to email sb. sth.;jdm. etw. (zu-)mailen
;
bibliographic;bibliografisch
;
access;Zugang
;
at a pressure of ...;bei einem Druck von ...
;
to divide sth. by sth.;etw. durch etw. teilen, dividieren
;
matrix, pl -ices;Matrix, pl -izen
;
justification;Rechtfertigung
;
to mix;mischen
;
to observe;beobachten
;
observation;Beobachtung
;
to fluctuate;fluktuieren, schwanken
;
fluctuation;Fluktuation, Schwankung
;
refractive index;Brechungsindex, Brechzahl
;
to scatter;streuen
;
scattering;Streuung
;
to arrange;einrichten, arrangieren
;
diagonal;diagonal, Diagonale
;
to contract;sich zusammenziehen
;
to raise the temperature;die Temperatur erh?hen
;
rising temperature;zunehmende Temperatur
;
falling temperature;abnehmende Temperatur
;
transfer; bertragung
;
heat;W?rme
;
heat transfer;W?rmeÙbergang
;
to absorb;aufnehmen, absorbieren
;
to release;loslassen, freisetzen, abgeben
;
calorie;Kalorie
;
heat capacity;W?rmekapazit?t
;
specific heat;spezifische W?rmekapazit?t
;
temperature change, change in temperature;Temperatur?nderung
;
mole;Mol
;
to flow;flie¤en
;
container;Beh?lter
;
to melt;schmelzen
;
to freeze;gefrieren lassen, gefrieren
;
to vaporize;verdampfen
;
to condense ;kondensieren
;
condensation;Kondensation
;
phase change;Phasenwechsel
;
melting temperature;Schmelztemperatur
;
diagram;Diagramm
;
p-V diagram;p-V-Diagramm
;
to drop;abfallen
;
in reverse order ;in umgekehrter Reihenfolge
;
thermodynamic cycle;thermodynamischer Kreisprozess
;
adiabatic;adiabatisch
;
conversely;umgekehrt (adv.)
;
cyclical process;Kreisprozess
;
thermal conduction;W?rmeleitung
;
face area;Seitenfl?che
;
thermal conductivity;W?rmeleitf?higkeit
;
thermal conductor;W?rmeleiter
;
thermal resistance;thermischer Widerstand
;
steady state;station?rer Zustand, Gleichgewicht
;
convection;Konvektion
;
thermal radiation;W?rmestrahlung
;
to radiate;strahlen, abstrahlen
;
radiator ;Strahler
;
emissivity;Emissionsgrad
;
blackbody radiation;Schwarzk?rperstrahlung
;
color-coded;farbkodiert
;
to surround ;umgeben
;
surroundings;Umgebung
;
kinetic theory of gases;kinetische Gastheorie
;
Avogadro's number;Avogadro-Konstante
;
molar;molar
;
molar mass;Molmasse
;
iron;Eisen
;
hydrogen;Wasserstoff
;
helium;Helium
;
neon;Neon
;
argon;Argon
;
oxygen;Sauerstoff
;
nitrogen;Stickstoff
;
methane;Methan
;
carbon dioxide;Kohlendioxid
;
ozone;Ozon
;
ideal gas law;ideales Gasgesetz
;
Boltzmann constant;Boltzmann-Konstante
;
isothermal;isotherm
;
isotherm;Isotherme
;
cubical;kubisch
;
root-mean-square speed, Abk. rms speed;Wurzel aus dem Mittelwert der Geschwindigkeitsquadrate
;
room temperature;Zimmertemperatur
;
disturbance, perturbation;St?rung
;
perturbation theory;St?rungstheorie
;
nuclear fusion;Kernverschmelzung
;
to repel;absto¤en
;
repulsion;Absto¤ung
;
repulsive;absto¤end
;
monatomic;einatomig
;
diatomic;zweiatomig
;
polyatomic;mehratomig
;
connection;Verbindung
;
to design;entwerfen, gestalten
;
to scale down;reduzieren, verkleinern
;
landscape format;Querformat
;
graphics;Grafik
;
to illustrate;illustrieren, bebildern
;
quantum theory;Quantentheorie
;
arbitrary;willkÙrlich, beliebig
;
mean free path;mittlere freie Wegl?nge
;
to take into account;berÙcksichtigen
;
speed distribution;Geschwindigkeitsverteilung
;
Maxwell's speed distribution law;maxwellsche Geschwindigkeitsverteilung
;
gas constant;Gaskonstante
;
probability distribution function;Wahrscheinlichkeitsverteilungsfunktion
;
to weight;gewichten
;
degree of freedom;Freiheitsgrad
;
to lead to;fÙhren zu
;
to dissociate;dissoziieren
;
to propagate;(sich) ausbreiten
;
propagation;Ausbreitung
;
alternative;alternativ
;
to equate (with);gleichsetzen (mit)
;
drop;Tropfen
;
elementary particle;Elementarteilchen
;
ideal gas;ideales Gas
;
molar specific heat;Molw?rme
;
to undergo a change;eine Ûnderung erfahren
;
reversible;reversibel
;
irreversible;irreversibel
;
spontaneous;spontan
;
violate;verletzen
;
entropy;Entropie
;
to deduce;ableiten
;
to proceed;ablaufen
;
idealization;Idealisierung
;
heat engine;W?rmekraftmaschine
;
Carnot engine;Carnot-Maschine
;
absorption;Absorption
;
net work;Gesamtarbeit
;
to extract;entziehen
;
efficiency;Wirkungsgrad
;
power plant, power station;Kraftwerk
;
reactor;Reaktor
;
turbine;Turbine
;
steam engine;Dampfmaschine
;
refrigerator;K?ltemaschine
;
to pump;pumpen
;
pump;Pumpe
;
electronic;elektronisch
;
electricity;Elektrizit?t
;
electric(al);elektrisch
;
magnetism;Magnetismus
;
magnetic;magnetisch
;
electric current;elektrischer Strom, elektrische Stromst?rke
;
Maxwell's equations;Maxwellsche Gleichungen
;
