to expand (in a series);(in eine Reihe) entwickeln
;
(series) expansion;(Reihen-)Entwicklung
;
the point in question;der betreffende Punkt
;
closely spaced;eng benachbart
;
to decrease (with distance);(mit der Entfernung) abnehmen
;
circumference;Umfang
;
plastic (noun), (adj.);Kunststoff, Kunststoff-
;
to divide (into);aufteilen (in)
;
preceding;vorangegangen, vorig
;
to drift;driften, sich treiben lassen
;
switch;Schalter
;
to switch;schalten
;
proof;Beweis
;
to prove;beweisen
;
to rely on;beruhen auf
;
electric breakdown;elektrischer Durchbruch
;
to ionize;ionisieren
;
to make an angle with...;in einem Winkel zu ... stehen
;
agent;Mittel, Ursache, Wirkstoff
;
hypothesis;Hypothese
;
hypothetical;hypothetisch
;
to corroborate;best?tigen
;
Gauss' law;Gaussches Gesetz
;
flux;Fluss
;
electric flux;elektrischer Fluss
;
outward ;ausw?rts gerichtet 
;
inward;einw?rts gerichtet
;
interior;Inneres, Innenraum
;
to speculate;mutma¤en
;
speculation;Mutma¤ung
;
copper;Kupfer
;
gold;Gold
;
silver;Silber
;
cavity;Hohlraum
;
coating;Beschichtung
;
to embed (in);einbetten (in)
;
to enlarge;vergr?¤ern
;
implicit;implizit, stillschweigend
;
surface charge density;Oberfl?chenladungsdichte
;
superposition; berlagerung
;
to concentrate;konzentrieren
;
symmetric(al);symmetrisch
;
asymmetric(al);asymmetrisch
;
to produce;herstellen, erzeugen
;
path independent;wegunabh?ngig
;
cosmic;kosmisch
;
to experience;erfahren
;
to infer (from);schlie¤en (aus)
;
volt;Volt
;
domain;Gebiet, Bereich
;
electron-volt;Elektronenvolt
;
provided (that);vorausgesetzt (dass)
;
equipotential surface;Ûquipotentialfl?che
;
at infinity;im Unendlichen
;
to consider (as/to be);betrachten (als), halten (fÙr)
;
dot product;Skalarprodukt
;
26 November 2010 (BE), November 26, 2008 (AE);26. Nov 10
;
26/11/2010 (BE), 11/26/2010 (AE);26.11.2010
;
Re: (Abk. fÙr referring to, leitet Betreffzeile ein);Betr.: (nicht mehr gebr?uchlich, stattdessen Betreffzeile in Fettschrift setzen)
;
please find enclosed ...;beiliegend erhalten Sie ...
;
enclosure;Anlage (eines Briefes)
;
computational;rechnerisch
;
advantage (over);Vorteil (gegenÙber)
;
arrangement;Anordnung, Zusammenstellung
;
at point P;am Punkt P
;
at distance r;im Abstand r
;
intersection;Schnittpunkt, -linie
;
orientation;Orientierung, Ausrichtung
;
dipolar;dipolar, Dipol-, zweipolig
;
to place;stellen, legen
;
to distort;verzerren
;
to polarize;polarisieren
;
polarization;Polarisation
;
to integrate (over sth.);(Ùber etw.) integrieren
;
via integration;durch Integration
;
line of charge;Linienladung
;
relation;Beziehung
;
flat;flach
;
for clarity;um der Klarheit willen
;
to propose;vorschlagen
;
to reveal;zeigen, offenbaren
;
at constant speed;mit konstanter Geschwindigkeit
;
in a fixed position;an einem festen Ort
;
to disassemble;auseinandernehmen
;
point;Spitze
;
edge;Rand
;
nonspherical;nichtsph?risch, nichtkugelf?rmig
;
precursor;Vorl?ufer, -bote
;
to distribute ;verteilen
;
capacitor;Kondensator
;
capacitance;Kapazit?t
;
to accumulate;(sich) ansammeln
;
circuit;Strom-, Schaltkreis
;
to tune sth.;etw. stimmen, einstellen
;
farad;Farad
;
positive/negative terminal;Plus-/Minuspol
;
terminals (of a battery);Pole, AnschlÙsse (einer Batterie)
;
to drive sth.;etw. treiben
;
to recover sth.;etw. wiedergewinnen, zurÙckbekommen
;
dielectric;dielektrisch, Dielektrikum
;
dielectric constant, permittivity;Dielektrizit?tskonstante
;
relative permittivity;Dielektrizit?tszahl
;
current density;Stromdichte
;
drift speed;Driftgeschwindigkeit
;
ohm;Ohm
;
Ohm's law;Ohmsches Gesetz
;
resistivity;spezifischer Widerstand
;
conductivity;Leitf?higkeit
;
to dope;dotieren
;
loop rule;Maschenregel
;
junction rule;Knotenregel
;
internal resistance;innerer Widerstand
;
in series ;in Serie geschaltet
;
in parallel ;parallel geschaltet
;
capacitive time constant;RC-Zeitkonstante
;
magnetic field ;magnetische Flussdichte
;
tesla;Tesla
;
permanent magnet;Dauermagnet
;
Hall effect;Halleffekt
;
polarity;Polarit?t
;
number density;Anzahldichte
;
permeability;magnetische Permeabilit?t
;
relative permeability;Permeabilit?tszahl
;
magnetic flux;magnetischer Fluss
;
induction;Induktion
;
Faraday's law of induction;faradaysches Induktionsgesetz
;
Lenz's law;Lenzsche Regel
;
inductance;Induktivit?t
;
winding (of a coil);Wicklung (einer Spule)
;
spin;Spin
;
Planck's constant, the Planck constant;Plancksche Konstante
;
orbital angular momentum;Bahndrehimpuls
;
diamagnetism;Diamagnetismus
;
diamagnetic;diamagnetisch
;
paramagnetism;Paramagnetismus
;
paramagnetic;paramagnetisch
;
magnetization;Magnetisierung
;
ferromagnetism;Ferromagnetismus
;
displacement current;Verschiebungsstrom
;
oscillating LC circuit;elektrischer Schwingkreis
;
impedance;Impedanz
;
transformer;Transformator
;
Poynting vector;Poyntingvektor
;
radiation;Strahlung
;
geometrical optics;geometrische Optik
;
scatter, scattering;Streuung
;
refraction;Brechung
;
to refract;brechen
;
transmission;Transmission
;
angle of incidence/reflection/refraction;Einfalls-/Reflektions-/Brechungswinkel
;
index of refraction;Brechungsindex, Brechzahl
;
real image;reelles Bild
;
virtual image;virtuelles Bild
;
lens;Linse
;
thin lens;dÙnne Linse
;
magnifying lens/glass;Lupe
;
Huygens' principle;Huygenssches Prinzip
;
coherent;koh?rent
;
interferometer;Interferometer
;
slit;Spalt
;
single-slit/double-slit/multiple-slit diffraction;Beugung am Einzelspalt/Doppeltspalt/Vielfachspalt
;
diffraction grating;Beugungsgitter
;
photon;Photon
;
work function;Austrittsarbeit
;
potential barrier;Potentialbarriere
;
probability wave;Wahrscheinlichkeitswelle
;
de Broglie wavelength;de Broglie-Wellenl?nge
;
wave function;Wellenfunktion
;
Schr?dinger equation;Schr?dingergleichung
;
probability density;Wahrscheinlichkeitsdichte
;
Heisenberg's uncertainty principle;Heisenbergsche Unsch?rferelation
;
quantization;Quantisierung
;
potential well;Potentialtopf
;
quantum well;Quantentopf
;
quantum state;Quantenzustand
;
quantum number;Quantenzahl
;
principal quantum number;Hauptquantenzahl
;
orbital quantum number;Bahndrehimpulsquantenzahl
;
Bohr radius;Bohrradius
;
ground state;Grundzustand
;
to excite;anregen
;
excited state;angeregter Zustand
;
optical transition;optischer  bergang
;
subshell;Unterschale
;
Pauli exclusion principle;Pauliprinzip
;
periodic table;Periodensystem
;
status;Status, Stand
;
symposium;Symposium
;
channel;Kanal, Weg
;
exchange;Austausch
;
presenter;Sprecher, VorfÙhrer
;
reception;Empfang
;
scientific society;wissenschaftliche Gesellschaft
;
prospective;voraussichtlich, potenziell
;
to review sth.;etw. (Ùber)prÙfen
;
to amount to sth.;sich auf etw. belaufen
;
visual;visuell
;
In this talk, I'm going to report on ...;In diesem Vortrag werde ich Ùber ... berichten
;
to give an overview of ...;einen  berblick Ùber ... geben
;
First, ..., then ..., third ..., finally, ...;Zuerst ..., dann ..., drittens ..., schlie¤lich ...
;
During the next few minutes, I'd like to ...;In den n?chsten Minuten m?chte ich ...
;
Now we move on to ...;Wir kommen nun zu ..., wir machen weiter mit ...
;
That brings me to ... ;Das fÙhrt mich zu ...
;
to proceed (with);fortfahren, weitermachen (mit)
;
to come back to ..., to go back to ...;zurÙckkommen zu/auf ...
;
to address a topic/problem;ein Thema/Problem ansprechen
;
Let's take a look at ... ;Sehen wir uns ... an. 
;
slide;Dia, (Vortrags-)Folie
;
to skip a slide;eine Folie Ùberspringen
;
Here you can see ... ;Hier sehen Sie ... 
;
This number should read 4.0 instead of 40%.;Das soll 4,0 statt 40% hei¤en. 
;
at the top / bottom;oben/unten
;
on the right / left;rechts/links
;
The upper part of the diagram shows ...;Der obere Teil des Diagramms zeigt ... 
;
Let me summarize: ... ;Lassen Sie mich zusammenfassen: ...
;
In conclusion, we may say  that ...;Abschlie¤end kann man sagen, dass ...
;
Thank you for your attention.;Danke fÙr Ihre Aufmerksamkeit. 
;
If you have any questions, I'll be happy to answer them at the end of my talk. ;Wenn Sie Fragen haben, werde ich diese gern am Ende meines Vortrags beantworten. 
;
If you have any questions, please feel free to interrupt. ;Wenn Sie Fragen haben, k?nnen Sie mich gern unterbrechen. 
