alternating field;Wechselfeld
;
antiparallel (to);antiparallel (zu)
;
spin flip;Umklappen des Spins
;
ethanol;Ethanol
;
to apply/impose a field;ein Feld anlegen
;
nucleus (pl. nuclei);(Atom-)Kern (pl. Kerne)
;
analytical;analytisch
;
nuclear magnetic resonance;Kernspinresonanz
;
signature;Erkennungszeichen
;
medical;medizinisch
;
to process data;Daten verarbeiten
;
trap;Falle
;
to trap;einfangen
;
to be spin up/down;Spin nach oben/unten haben
;
weak/strong field;schwaches/starkes Feld
;
one-dimensional;eindimensional
;
quantum jump ;Quantensprung
;
quantum mechanics;Quantenmechanik
;
potential box;Potentialkasten
;
to occupy a state;einen Zustand einnehmen/besetzen
;
energy level;Energieniveau
;
(un)occupied level;(un)besetztes Niveau
;
simplicity;Einfachheit
;
for simplicity ;der Einfachheit halber 
;
pair of electrons;Elektronenpaar
;
multiparticle system;Vielteilchensystem 
;
computer;Computer
;
primarily;in erster Linie
;
to label (as);kennzeichnen (als)
;
to operate ;funktionieren
;
closed shell;abgeschlossene Schale
;
allowed/forbidden state;erlaubter/verbotener Zustand
;
to cancel ;aufheben, sich gegenseitig aufheben
;
noble gas;Edelgas
;
inert;inert, tr?ge
;
sodium;Natrium
;
atomic core;Atomrumpf
;
valence electron;Valenzelektron
;
to combine with;sich verbinden mit
;
vacancy;Leerstelle, freier Platz
;
hole;Loch, fehlendes Elektron
;
chlorine;Chlor
;
sodium chloride;Natriumchlorid
;
halogen;Halogen
;
alkali metal ;Alkalimetall
;
convention;Konvention
;
conventional;konventionell, herk?mmlich
;
to bombard (with);beschie¤en (mit)
;
industry;Industrie
;
industrial;industriell, Industrie-
;
recoil;RÙcksto¤
;
to recoil;zurÙckspringen
;
electron scattering;Elektronenstreuung
;
to generate;erzeugen
;
generation;Erzeugung
;
cutoff wavelength;Grenzwellenl?nge
;
to switch;(um)schalten, wechseln
;
foil;Folie
;
atomic number;Ordnungszahl
;
deep-lying;tiefliegend
;
regular;regelm?¤ig
;
platinum;Platin
;
atomic weight;Atomgewicht
;
lanthanide;Lanthanoid
;
rare-earth elements;seltene Erden
;
identity;Identit?t, identische Umformung
;
nuclear charge;Kernladung
;
to screen ;abschirmen
;
effective;wirksam
;
efficient;effizient
;
cobalt;Kobalt
;
nickel;Nickel
;
transistor;Transistor 
;
laser pulse;Laserpuls, -blitz
;
(incandescent) light bulb;GlÙhbirne
;
fluorescent;fluoreszierend, Fluoreszenz- 
;
phosphorescent;phosphorescent, Phosphoreszenz- 
;
wave train;Wellenzug
;
monochromatic ;monochromatisch 
;
coherence;Koh?renz
;
directional;gerichtet
;
to spread (from);sich ausbreiten (von), breiter werden
;
to depart (from);abweichen (von)
;
aperture;Apertur, Blende, (kleine) Éffnung
;
divergence ;Divergenz
;
transmission;Transmission,  bertragung
;
active;aktiv
;
hologram;Hologramm
;
spontaneous/stimulated emission;spontane/stimulierte Emission 
;
lifetime;Lebensdauer
;
to trigger;ausl?sen
;
state population;Zustandsbesetzung
;
population inversion;Besetzungsumkehr
;
thermal equilibrium;thermische Gleichgewicht 
;
metastable;metastabil 
;
chain reaction;Kettenreaktion 
;
leak;Leck
;
laser action;Lasert?tigkeit
;
gallium arsenide;Galliumarsenid
;
transparent;transparent
;
sound wave;Schallwelle
;
heat conductor;W?rmeleiter
;
crystalline;kristallin 
;
rubber;Gummi 
;
diamond;Diamant
;
charge carrier;Ladungstr?ger
;
carrier density;Ladungstr?gerdichte
;
energy band;Energieband
;
band gap;BandlÙcke
;
to split;(auf)spalten
;
nuclear fission;Kernspaltung
;
job advertisement;Stellenanzeige
;
equipment;AusrÙstung, Ger?te
;
to confuse;verwechseln, verwirren
;
employer;Arbeitgeber
;
school-leaving certificate;Schulabschlusszeugnis
;
expertise;Fachkenntnis
;
motivation;Motivation
;
potential;potentiell, m?glich
;
readible;lesbar
;
letter of application;Bewerbungsschreiben
;
applicable;anwendbar
;
to classify;einordnen, einstufen
;
to comply with sth.;etw. befolgen
;
subheading;Unter- berschrift
;
time period;Zeitspanne
;
award;Auszeichnung, Preis, Stipendium
;
cover letter;Anschreiben
;
occupational training;Berufsausbildung
;
technological;technologisch
;
innovative;innovativ
;
to light;beleuchten
;
plasma ;Plasma
;
plasma physics;Plasmaphysik
;
research and development;Forschung und Entwicklung (F&E)
;
fluency (in English);Beherrschung (des Englischen)
;
to relocate;umziehen
;
competitive;wettbewerbsf?hig
;
retirement benefits;Ruhestandsleistungen
;
curriculum vitae (BE), r?sum? (AE);Lebenslauf
;
on the phone;am Telefon
;
hello;Hallo (BegrÙ¤ung am Telephon)
;
How can I help?;Was kann ich fÙr Sie tun?
;
Can/could I speak to ..., please?;K?nnte ich bitte mit ... sprechen?
;
to call (intransitiv);anrufen
;
Who's calling, please?;Wie ist bitte Ihr Name?
;
It's Richard Davies here, my name's Richard Davies;Mein Name ist Richard Davies. 
;
please hold, please hang on;Bitte bleiben Sie dran.
;
I'll put you through.;Ich stelle Sie durch. 
;
Just a second. ;Einen Augenblick. 
;
to be in;da sein 
;
receiver, handset;Telefonh?rer
;
to call back;zurÙckrufen
;
to take a number;eine Telefonnummer notieren
;
to take a message;eine Nachricht aufnehmen
;
to leave a message;eine Nachricht hinterlassen 
;
goodbye, bye;auf Wiederh?ren
;
to fix/arrange an appointment;einen Termin vereinbaren
;
I didn't catch that.;Das habe ich nicht verstanden.
;
to dial ;w?hlen (am Telefon) 
;
to dial the wrong number ;sich verw?hlen 
;
extension, direct number (BE);Durchwahl, Apparatenummer
;
diary;Terminkalender
;
When's convenient for you?;Wann wÙrde es Ihnen passen?
;
to enquire about s.th.;sich nach etw. erkundigen
;
to go economy;mit Economy fliegen
;
to book;reservieren
;
to book provisionally;vorl?ufig buchen
;
conference participant, conference delegate;Tagungsteilnehmer
