English;German;
integral from a to b (of) f(x) dx;Integral f(x) dx von a bis b;
definite integral;bestimmtes Integral;
indefinite integral;unbestimmtes Integral;
double integral over the domain D ;Zweifachintegral über den Bereich D;
triple integral over the domain D ;Dreifachintegral über den Bereich D 
;
to integrate f(x) with respect to x;f(x) über x integrieren
;
line integral;Linienintegral
;
volume integral;Volumenintegral
;
surface integral;Oberflächenintegral
;
a is not equal to b;a ist ungleich b
;
x inverse;x invers
;
x to the minus 1;x hoch minus 1
;
x belongs to A ;x ist Element von A 
;
30 degrees;30 Grad
;
sum for k from 1 to infinity of k2;Summe aller k2 für k gleich 1 bis unendlich
;
product for k from 1 to infinity of  k2;Produkt aller k2 für k gleich 1 bis unendlich
;
n factorial;Fakultät n 
;
modulus z  (if z is a complex number);z Betrag
;
complex conjugate of z ;komplex Konjugierte von z, z komplex konjugiert
;
scalar product of a and b, inner product of  a and b;Skalarprodukt von  a und b
;
 a in b, a dot b; mal 
;
vector product of  a and b,  a cross b;Vektorprodukt/Kreuzprodukt von a und b, a kreuz b 
;
orthogonal (to);orthogonal (zu)
;
f prime,  f dashed;f Strich
;
a is proportional to b;a ist proportional zu b 
;
approximate;ungefähr
;
approximately equal to;ungefähr gleich
;
(good/rough) approximation;(gute/grobe) Näherung
;
to a first approximation;in erster Näherung
;
tends to;strebt gegen
;
proper;eigen, richtig
;
proper name;Eigenname
;
syllable;Silbe
;
to denote sth.;etw. bedeuten
;
(primary/secondary) stress;(Haupt-/Neben-)Betonung
;
to stress;betonen
;
collective;kollektiv, gemeinsam
;
specific;bestimmte(r, s)
;
sentence;Satz
;
to modify;ändern, modifizieren
;
particle;Teilchen
;
measurement;Messung
;
to make/take a measurement;eine Messung durchführen
;
object;"Objekt (Gram) Gegenstand"
;
personal pronoun;Personalpronomen
;
relative (to);relativ (zu)
;
elementary;elementar
;
hyphen;Bindestrich
;
verb;Verb
;
characteristic;"typisch (adj), charakteristisches Merkmal (n)"
;
transitive;transitiv
;
intransitive;intransitiv
;
nominalization;Substantivierung
;
to verb;ein Verb aus einem Substantiv machen
;
definite;bestimmt
;
to omit;auslassen
;
conjunction;Konjunktion, Bindewort
;
preposition;Präposition, Verhältniswort
;
interjection;"Interjektion (Gram), Ausruf"
;
to combine;"kombinieren, verbinden, sich verbinden"
;
objective case;Dativ- bzw. Akkusativfall
;
clause;Satzteil
;
phrase;Satzglied, -teil (Gram), Satz
;
manual;Handbuch, Bedienungsanleitung
;
documentation;Informationsmaterial
;
manuscript;Manuskript
;
patent;Patent
;
patent application;Patentanmeldung
;
literal;wörtlich
;
idiom;(idiomatische) Redewendung 
;
target;Ziel
;
syntax;Syntax, Satzbau
;
punctuation;Zeichensetzung
;
precise;genau
;
precision;Genauigkeit
;
one point zero five, one point oh five;1.05
;
one million five hundred forty-eight thousand;1.548.000
;
one point six times ten to the minus nineteen;1,6 . 10-19
;
 one half;ein halb
;
 two thirds;zwei Drittel
;
three quarters;drei Viertel
;
four fifths;four Fünftel
;
 nine tenths;neun Zentel
;
plus or minus;plus minus
;
second derivative of f with respect to x;zweite Ableitung von f nach x
;
d squared f  by dx squared;d Quadrat f nach dx Quadrat
;
second partial derivative of f with respect to x;zweite partielle Ableitung von f nach x
;
partial ∂ squared f by ∂x squared;∂ Quadrat f partiell nach ∂x Quadrat
;
loop;Schleife
;
closed loop integral F dl along C;Ringintegral F dl entlang C
;
curve;Kurve
;
to curve;biegen
;
curvature;Krümmung
;
point of inflection;Wendepunkt
;
maximum ;Maximum
;
maxima;Maxima
;
to maximize;maximieren
;
maximal;maximal
;
minimum;Minimum
;
minima;Minima
;
to minimize;minimieren
;
minimal;minimal
;
The curve goes through a minimum. ;Die Kurve nimmt ein Minimum an. 
;
to plot y versus/against x;y gegen x abtragen
;
plot;Abtragung
;
to determine;bestimmen
;
geometry;Geometrie
;
geometrical;Geometrisch
;
term;Semester (in USA) bzw. Trimester (in GB)
;
to explore;erforschen, erkunden
;
proton;Proton
;
universe;Universum
;
to span;sich erstrecken über
;
magnitude;Ausmaß, Größe, Betrag (eines Vektors)
;
order of magnitude;Größenordnung
;
is of the same order of magnitude as;ist von derselben Größenordnung wie
;
to measure;messen
;
measure;Maß
;
quantitative;quantitativ
;
quantity;(physikalische) Größe
;
unit;(physikalische) Einheit
;
meter;Meter
;
kilometer;Kilometer
;
centimeter;Zentimeter
;
millimeter;Millimeter
;
micrometer, micron;Mikrometer
;
nanometer;Nanometer
;
liter;Liter
;
angstrom;Angström
;
mass;Masse
;
kilogramme (BE), kilogram (AE);Kilogramm
;
gram, gramme;Gramm
;
milligram;Milligramm
;
ton;Tonne 
;
metric;metrisch
;
second;Sekunde
;
millisecond;Millisekunde
;
microsecond;Mikrosekunde
;
nanosecond;Nanosekunde
;
picosecond;Pikosekunde
;
femtosecond;Femtosekunde
;
watt;Watt
;
kilowatt;Kilowatt
;
megawatt;Megawatt
;
gigawatt;Gigawatt
;
to evolve;sich entwickeln
;
astronomy;Astronomie
;
astronomical;astronomisch
;
to derive;her-, ableiten
;
to exist;existieren
;
inch;Zoll (2,54 cm)
;
yard;Yard (0,91 m)
;
exception;Ausnahme
;
to conceive;sich ausdenken
;
conceivable;denkbar
;
to cover;abdecken, behandeln
;
fundamental;grundlegend
;
capital letter;Großbuchstabe
;
dimension;Dimension
;
density;Dichte
;
per unit volume;pro Einheitsvolumen
;
acceleration;Beschleunigung
;
to accelerate;beschleunigen
;
to ignore;ignorieren, nicht beachten
;
uncertainty;Ungewissheit, Unsicherheit
;
to select (from/among);auswählen (aus)
;
selection;Auswahl
;
conference;Konferenz, Tagung
;
conservation of energy/linear momentum;Energie-/Impulserhaltung
;
continuous;kontinuierlich
;
displacement;Verschiebung
;
to insert (for);einsetzen (für)
;
initial;Anfangs-
;
final;End-
;
such as;wie zum Beispiel
;
motion;Bewegung
;
stationary;ruhend
;
velocity;Geschwindigkeit
;
instantaneous velocity;Momentangeschwindigkeit
;
deceleration;Abbremsung
;
to brake ;bremsen
;
to stretch;(sich) dehnen
;
at a rate of ;mit einer Rate von
;
valid;gültig
;
to approach;sich nähern
;
approach;Zugang,  Ansatz
;
cross section;Querschnitt
;
to recast sth. as;etw. umformen zu
;
to reduce to;sich verkürzen auf
;
check;Probe, Überprüfung
;
to yield;ergeben
;
to rewrite sth. as;etw. umschreiben zu
;
to average sth. over;etw. mitteln über 
;
given;vorgegebene Größe
;
to eliminate;eliminieren
;
x belongs to A , x is element of A;x ist Element von A 
;
integration;Integration
;
to move sth. outside the integration;etw. vor das Integral ziehen
;
to hold (for);gelten (für)
;
at time t = 0 ;zum Zeitpunkt t = 0
;
to replace a with b ;a mit b ersetzen
;
free fall;freier Fall
;
free-fall acceleration;Erdbeschleunigung
;
elevation;Höhe
;
natural logarithm;natürlicher Logarithmus
;
